# index, id, name, group, _pos
0,1,Samir_Kashk,4,"array([ 15.31373468, -10.35623441])"
1,5,Essid_Sami_Ben_Khemais,4,"array([ 15.07710031, -10.3391242 ])"
2,2,Madjid_Sahoune,4,"array([ 15.19828751, -10.05392419])"
3,3,Fahid_al_Shakri,4,"array([ 15.33516028, -10.20180094])"
4,4,Lased_Ben_Heni,4,"array([ 15.18513239, -10.19040057])"
5,7,Mohamed_Bensakhria,4,"array([ 15.03770007, -10.196347  ])"
6,6,Seifallah_ben_Hassine,4,"array([ 14.919585  , -10.24366312])"
7,8,Mehdi_Khammoun,4,"array([ 14.99736969, -10.07194878])"
8,9,Essoussi_Laaroussi,4,"array([ 14.9822137 , -10.40242284])"
9,10,Tarek_Maaroufi,4,"array([ 14.8562263 , -10.36559695])"
10,11,Haydar_Abu_Doha,4,"array([ 14.84796888, -10.14187275])"
11,32,Mohamed_Atta,0,"array([ 14.98028821, -10.89975025])"
12,13,Abu_Qatada,4,"array([ 14.59930298, -10.43444566])"
13,23,Imad_Eddin_Barakat_Yarkas,4,"array([ 14.81485998, -10.59563101])"
14,12,Ahmed_Ressam,4,"array([ 14.67705964, -10.30038677])"
15,22,Zacarias_Moussaoui,4,"array([ 14.63488589, -10.59918071])"
16,14,Abu_Walid,4,"array([ 14.43356855, -10.28767224])"
17,18,Djamal_Beghal,4,"array([ 14.32938524, -10.42753416])"
18,19,Kamel_Daoudi,4,"array([ 14.30120598, -10.3153807 ])"
19,15,Jean-Marc_Grandvisir,4,"array([ 14.12201815, -10.54143357])"
20,16,Abu_Zubeida,4,"array([ 14.16348388, -10.22478544])"
21,17,Mizar_Trabelsi,4,"array([ 14.0817901 , -10.37805485])"
22,20,Jerome_Courtaillier,4,"array([ 14.41144307, -10.51847223])"
23,21,David_Courtaillier,4,"array([ 14.42268576, -10.66587393])"
24,24,Ramzi_Bin_al-Shibh,4,"array([ 14.90149155, -10.75159258])"
25,25,Mohammed_Belfas,4,"array([ 15.0478764 , -10.58825468])"
26,29,Agus_Budiman,4,"array([ 15.07184037, -10.72785269])"
27,30,Mounir_El_Motassadeq,4,"array([ 14.86933711, -10.87981697])"
28,31,Zakariya_Essabar,4,"array([ 14.97157507, -10.81311521])"
29,36,Said_Bahaji,4,"array([ 15.06867069, -10.84086239])"
30,37,Ziad_Jarrah,2,"array([ 14.94040916, -11.01451657])"
31,38,Marwan_Al-Shehhi,3,"array([ 15.06696913, -10.98782254])"
32,26,Abdelghani_Mzoudi,4,"array([ 14.68540614, -10.95190471])"
33,27,Ahmed_Khalil_Ibrahim_Samir_Al-Ani,4,"array([ 14.71487863, -10.81155895])"
34,28,Mustafa_Ahmed_al-Hisawi,4,"array([ 15.25064148, -10.89069717])"
35,33,Fayez_Ahmed,3,"array([ 15.24018268, -11.03535941])"
36,40,Waleed_Alshehri,0,"array([ 15.32387787, -11.0026814 ])"
37,35,Mamoun_Darkazanli,4,"array([ 15.22964481, -10.77310692])"
38,39,Wail_Alshehri,0,"array([ 15.17530662, -10.97272736])"
39,42,Satam_Suqami,0,"array([ 15.24377056, -11.13561682])"
40,43,Abdul_Aziz_Al-Omari,0,"array([ 15.09999318, -11.09727969])"
41,44,Lotfi_Raissi,4,"array([ 14.82637402, -11.06029875])"
42,45,Ahmed_Al_Haznawi,2,"array([ 15.06916221, -11.18693434])"
43,51,Hani_Hanjour,1,"array([ 14.85807803, -11.1955934 ])"
44,57,Nawaf_Alhazmi,1,"array([ 14.98616503, -11.38180425])"
45,41,Mohand_Alshehri,3,"array([ 15.42318652, -11.17827853])"
46,34,Mamduh_Mahmud_Salim,4,"array([ 15.47230026, -10.68739555])"
47,50,Salem_Alhazmi,1,"array([ 14.95374878, -11.23281937])"
48,48,Hamza_Alghamdi,3,"array([ 15.19206884, -11.27999745])"
49,46,Raed_Hijazi,4,"array([ 15.42819859, -11.35683278])"
50,47,Nabil_al-Marabh,4,"array([ 15.31476921, -11.34146981])"
51,49,Ahmed_Alghamdi,3,"array([ 15.08438901, -11.30541685])"
52,53,Rayed_Mohammed_Abdullah,4,"array([ 14.66750595, -11.19801676])"
53,62,Saeed_Alghamdi,2,"array([ 15.21564142, -11.40714465])"
54,61,Ahmed_Alnami,2,"array([ 15.1617266 , -11.51819168])"
55,55,Majed_Moqed,1,"array([ 14.81441246, -11.3500669 ])"
56,56,Khalid_Al-Mihdhar,1,"array([ 14.86535336, -11.44487613])"
57,52,Bandar_Alhazmi,4,"array([ 14.6347857 , -11.35322099])"
58,54,Raisal_Al_Salmi,4,"array([ 14.55403937, -11.23268883])"
59,58,Osama_Awadallah,4,"array([ 14.80018722, -11.58539287])"
60,59,Abdussattar_Shaikh,4,"array([ 14.91685584, -11.60891137])"
61,60,Mohamed_Abdi,4,"array([ 15.05986311, -11.66837426])"
